Year,,İdman qurğularının sayı (ədəd),Bədən tərbiyəsi ilə məşğul olanların sayı (min nəfər)
2024,,12290.0,1898.8
2023,,12270.0,1921.6
2022,,12156.0,1918.8
2021,,11915.0,1897.6
2020,,11770.0,1861.6
2019,,11674.0,1864.8
2018,,11545.0,1827.9
2017,,11412.0,1785.9
2016,,11215.0,1755.4
2015,,11027.0,1724.7
2014,,10798.0,1723.8
2013,,10574.0,1685.1
2012,,10259.0,1678.4
2011,,9954.0,1660.4
2010,,9491.0,1649.8
2009,,9623.0,1617.4
2008,,9604.0,542.6
2007,,9323.0,539.3
2006,,9000.0,538.4
2005,,8732.0,529.8
2004,,8948.0,546.5
2003,,8940.0,539.6
2002,,8214.0,410.3
2001,,8129.0,400.5
2000,,7908.0,355.2
1999,,7864.0,352.6
1998,,7238.0,329.6
1997,,6885.0,353.4
1996,,6937.0,298.7
1995,,6670.0,394.1
